"","Comparison","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","effect","size"
"1","C3.N080611 - N052611","GO:0004623","phospholipase A2 activity","5/368","35/18496","6.027247e-04","4.089590e-02","3.586162e-02","5","1.9713167","0.013586957"
"2","C3.N080611 - N052611","GO:0005201","extracellular matrix structural constituent","15/368","166/18496","1.197122e-06","7.170760e-04","6.288040e-04","15","1.5132892","0.040760870"
"3","C3.N080611 - N052611","GO:0005539","glycosaminoglycan binding","17/368","240/18496","6.755126e-06","1.348773e-03","1.182740e-03","17","1.2698013","0.046195652"
"4","C3.N080611 - N052611","GO:0008201","heparin binding","14/368","174/18496","1.049348e-05","1.571398e-03","1.377959e-03","14","1.3972289","0.038043478"
"5","C3.N080611 - N052611","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","5/368","38/18496","8.875571e-04","4.089590e-02","3.586162e-02","5","1.8890786","0.013586957"
"6","C3.N080611 - N052611","GO:0030021","extracellular matrix structural constituent conferring compression resistance","4/368","22/18496","8.490343e-04","4.089590e-02","3.586162e-02","4","2.2124787","0.010869565"
"7","C3.N080611 - N052611","GO:0030414","peptidase inhibitor activity","11/368","175/18496","7.816691e-04","4.089590e-02","3.586162e-02","11","1.1503361","0.029891304"
"8","C3.N080611 - N052611","GO:0030551","cyclic nucleotide binding","5/368","37/18496","7.834022e-04","4.089590e-02","3.586162e-02","5","1.9157468","0.013586957"
"9","C3.N080611 - N052611","GO:0043394","proteoglycan binding","5/368","36/18496","6.886439e-04","4.089590e-02","3.586162e-02","5","1.9431458","0.013586957"
"10","C3.N080611 - N052611","GO:0052739","phosphatidylserine 1-acylhydrolase activity","3/368","11/18496","1.144662e-03","4.897519e-02","4.294635e-02","3","2.6179438","0.008152174"
"11","C3.N080611 - N052611","GO:0052740","1-acyl-2-lysophosphatidylserine acylhydrolase activity","3/368","10/18496","8.449038e-04","4.089590e-02","3.586162e-02","3","2.7132540","0.008152174"
"12","C3.N080611 - N052611","GO:0061134","peptidase regulator activity","15/368","228/18496","5.507945e-05","6.598518e-03","5.786241e-03","15","1.1959314","0.040760870"
"13","C3.N080611 - N052611","GO:0097110","scaffold protein binding","7/368","68/18496","3.984416e-04","3.977775e-02","3.488112e-02","7","1.6436293","0.019021739"
"14","C3.N080611 - N052611","GO:1901681","sulfur compound binding","19/368","275/18496","2.810393e-06","8.417128e-04","7.380980e-04","19","1.2448947","0.051630435"
"15","C3.N080611 - N061011","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","4/457","17/18496","6.778821e-04","2.932970e-02","2.697257e-02","4","2.2537074","0.008752735"
"16","C3.N080611 - N061011","GO:0004896","cytokine receptor activity","10/457","96/18496","1.300476e-04","1.205727e-02","1.108827e-02","10","1.4388633","0.021881838"
"17","C3.N080611 - N061011","GO:0005159","insulin-like growth factor receptor binding","4/457","16/18496","5.286400e-04","2.639134e-02","2.427035e-02","4","2.3143320","0.008752735"
"18","C3.N080611 - N061011","GO:0005201","extracellular matrix structural constituent","23/457","166/18496","2.176032e-11","1.412245e-08","1.298748e-08","23","1.7241328","0.050328228"
"19","C3.N080611 - N061011","GO:0005539","glycosaminoglycan binding","21/457","240/18496","5.897443e-07","1.913720e-04","1.759921e-04","21","1.2645099","0.045951860"
"20","C3.N080611 - N061011","GO:0008201","heparin binding","16/457","174/18496","6.894582e-06","1.118646e-03","1.028744e-03","16","1.3141598","0.035010941"
"21","C3.N080611 - N061011","GO:0008525","phosphatidylcholine transporter activity","4/457","17/18496","6.778821e-04","2.932970e-02","2.697257e-02","4","2.2537074","0.008752735"
"22","C3.N080611 - N061011","GO:0017154","semaphorin receptor activity","4/457","12/18496","1.555289e-04","1.208241e-02","1.111139e-02","4","2.6020141","0.008752735"
"23","C3.N080611 - N061011","GO:0019955","cytokine binding","11/457","145/18496","9.660573e-04","3.918570e-02","3.603648e-02","11","1.1217879","0.024070022"
"24","C3.N080611 - N061011","GO:0030021","extracellular matrix structural constituent conferring compression resistance","5/457","22/18496","1.675527e-04","1.208241e-02","1.111139e-02","5","2.2190218","0.010940919"
"25","C3.N080611 - N061011","GO:0042043","neurexin family protein binding","4/457","15/18496","4.043337e-04","2.186771e-02","2.011028e-02","4","2.3788705","0.008752735"
"26","C3.N080611 - N061011","GO:0042562","hormone binding","9/457","85/18496","2.478529e-04","1.462332e-02","1.344809e-02","9","1.4551997","0.019693654"
"27","C3.N080611 - N061011","GO:0097110","scaffold protein binding","9/457","68/18496","4.293319e-05","4.643940e-03","4.270723e-03","9","1.6783433","0.019693654"
