"","Comparison","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count","effect","size"
"28","C3.N080611 - N061011","GO:0098631","cell adhesion mediator activity","8/457","65/18496","1.919590e-04","1.245814e-02","1.145692e-02","8","1.6056807","0.017505470"
"29","C3.N080611 - N061011","GO:0098632","cell-cell adhesion mediator activity","8/457","52/18496","3.787045e-05","4.643940e-03","4.270723e-03","8","1.8288242","0.017505470"
"30","C3.N080611 - N061011","GO:0140375","immune receptor activity","11/457","147/18496","1.080851e-03","4.126309e-02","3.794692e-02","11","1.1080891","0.024070022"
"31","C3.N080611 - N061011","GO:1901681","sulfur compound binding","21/457","275/18496","5.222170e-06","1.118646e-03","1.028744e-03","21","1.1283777","0.045951860"
"32","C3.N61311 - N052611","GO:0001968","fibronectin binding","6/269","29/18496","3.209867e-06","2.685589e-04","2.353903e-04","6","2.6550620","0.022304833"
"33","C3.N61311 - N052611","GO:0003735","structural constituent of ribosome","14/269","176/18496","3.058236e-07","5.117448e-05","4.485413e-05","14","1.6991717","0.052044610"
"34","C3.N61311 - N052611","GO:0005178","integrin binding","11/269","154/18496","1.609494e-05","8.977398e-04","7.868636e-04","11","1.5915411","0.040892193"
"35","C3.N61311 - N052611","GO:0005201","extracellular matrix structural constituent","23/269","166/18496","3.046466e-16","1.529326e-13","1.340445e-13","23","2.2541048","0.085501859"
"36","C3.N61311 - N052611","GO:0005216","monoatomic ion channel activity","15/269","443/18496","2.199675e-03","4.835789e-02","4.238540e-02","15","0.8450788","0.055762082"
"37","C3.N61311 - N052611","GO:0005248","voltage-gated sodium channel activity","5/269","22/18496","1.348143e-05","8.459599e-04","7.414788e-04","5","2.7489939","0.018587361"
"38","C3.N61311 - N052611","GO:0005272","sodium channel activity","7/269","43/18496","2.622310e-06","2.632800e-04","2.307633e-04","7","2.4153084","0.026022305"
"39","C3.N61311 - N052611","GO:0005507","copper ion binding","5/269","63/18496","2.215600e-03","4.835789e-02","4.238540e-02","5","1.6969016","0.018587361"
"40","C3.N61311 - N052611","GO:0005518","collagen binding","7/269","68/18496","5.789334e-05","2.906246e-03","2.547307e-03","7","1.9570008","0.026022305"
"41","C3.N61311 - N052611","GO:0005520","insulin-like growth factor binding","4/269","19/18496","1.427620e-04","5.972212e-03","5.234608e-03","4","2.6724538","0.014869888"
"42","C3.N61311 - N052611","GO:0005539","glycosaminoglycan binding","18/269","240/18496","1.522146e-08","3.820586e-06","3.348721e-06","18","1.6403312","0.066914498"
"43","C3.N61311 - N052611","GO:0008201","heparin binding","12/269","174/18496","9.486195e-06","6.802957e-04","5.962751e-04","12","1.5564497","0.044609665"
"44","C3.N61311 - N052611","GO:0008331","high voltage-gated calcium channel activity","4/269","24/18496","3.696175e-04","1.236986e-02","1.084211e-02","4","2.4388389","0.014869888"
"45","C3.N61311 - N052611","GO:0015081","sodium ion transmembrane transporter activity","10/269","157/18496","1.028617e-04","4.694234e-03","4.114468e-03","10","1.4769377","0.037174721"
"46","C3.N61311 - N052611","GO:0019838","growth factor binding","8/269","135/18496","8.144294e-04","2.151808e-02","1.886047e-02","8","1.4047652","0.029739777"
"47","C3.N61311 - N052611","GO:0022836","gated channel activity","14/269","326/18496","3.168820e-04","1.136248e-02","9.959150e-03","14","1.0827583","0.052044610"
"48","C3.N61311 - N052611","GO:0022839","monoatomic ion gated channel activity","14/269","325/18496","3.071974e-04","1.136248e-02","9.959150e-03","14","1.0858305","0.052044610"
"49","C3.N61311 - N052611","GO:0030021","extracellular matrix structural constituent conferring compression resistance","6/269","22/18496","5.491965e-07","6.892417e-05","6.041162e-05","6","2.9313154","0.022304833"
"50","C3.N61311 - N052611","GO:0031994","insulin-like growth factor I binding","3/269","13/18496","7.809848e-04","2.151808e-02","1.886047e-02","3","2.7642613","0.011152416"
"51","C3.N61311 - N052611","GO:0042605","peptide antigen binding","5/269","47/18496","5.837898e-04","1.831640e-02","1.605422e-02","5","1.9898887","0.018587361"
"52","C3.N61311 - N052611","GO:0046873","metal ion transmembrane transporter activity","15/269","441/18496","2.106471e-03","4.835789e-02","4.238540e-02","15","0.8496037","0.055762082"
"53","C3.N61311 - N052611","GO:0050840","extracellular matrix binding","5/269","55/18496","1.204744e-03","3.023908e-02","2.650437e-02","5","1.8327031","0.018587361"
"54","C3.N61311 - N052611","GO:1901681","sulfur compound binding","12/269","275/18496","7.313078e-04","2.151808e-02","1.886047e-02","12","1.0987339","0.044609665"
"55","C3.N61311 - N061011","GO:0001968","fibronectin binding","5/255","29/18496","4.338659e-05","3.074250e-03","2.714108e-03","5","2.5261883","0.019607843"
"56","C3.N61311 - N061011","GO:0003735","structural constituent of ribosome","24/255","176/18496","2.852343e-17","1.414762e-14","1.249026e-14","24","2.2916161","0.094117647"
"57","C3.N61311 - N061011","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","3/255","17/18496","1.526326e-03","4.731611e-02","4.177314e-02","3","2.5494452","0.011764706"
"58","C3.N61311 - N061011","GO:0005201","extracellular matrix structural constituent","18/255","166/18496","1.588404e-11","3.939243e-09","3.477770e-09","18","2.0624302","0.070588235"
"59","C3.N61311 - N061011","GO:0005245","voltage-gated calcium channel activity","5/255","52/18496","7.336600e-04","2.425969e-02","2.141772e-02","5","1.9422404","0.019607843"
"60","C3.N61311 - N061011","GO:0005520","insulin-like growth factor binding","4/255","19/18496","1.161962e-04","6.687827e-03","5.904364e-03","4","2.7259016","0.015686275"
"61","C3.N61311 - N061011","GO:0005539","glycosaminoglycan binding","18/255","240/18496","6.611231e-09","1.093057e-06","9.650078e-07","18","1.6937791","0.070588235"
"62","C3.N61311 - N061011","GO:0008201","heparin binding","12/255","174/18496","5.518603e-06","5.474454e-04","4.833134e-04","12","1.6098976","0.047058824"
"63","C3.N61311 - N061011","GO:0008331","high voltage-gated calcium channel activity","4/255","24/18496","3.017454e-04","1.360598e-02","1.201207e-02","4","2.4922868","0.015686275"
"64","C3.N61311 - N061011","GO:0019838","growth factor binding","8/255","135/18496","5.747481e-04","2.036250e-02","1.797708e-02","8","1.4582130","0.031372549"
"65","C3.N61311 - N061011","GO:0019843","rRNA binding","9/255","66/18496","2.915898e-07","3.615714e-05","3.192141e-05","9","2.2916161","0.035294118"
"66","C3.N61311 - N061011","GO:0030021","extracellular matrix structural constituent conferring compression resistance","4/255","22/18496","2.122726e-04","1.052872e-02","9.295307e-03","4","2.5792981","0.015686275"
"67","C3.N61311 - N061011","GO:0070700","BMP receptor binding","3/255","11/18496","3.937367e-04","1.627445e-02","1.436794e-02","3","2.9847632","0.011764706"
"68","C3.N61311 - N061011","GO:0097110","scaffold protein binding","7/255","68/18496","4.128764e-05","3.074250e-03","2.714108e-03","7","2.0104487","0.027450980"
"69","C3.N61311 - N061011","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","4/255","27/18496","4.824479e-04","1.840724e-02","1.625088e-02","4","2.3745037","0.015686275"
"70","C3.N61311 - N061011","GO:1901681","sulfur compound binding","13/255","275/18496","1.213517e-04","6.687827e-03","5.904364e-03","13","1.2322245","0.050980392"
"71","C3.N61311 - N080611","GO:0003735","structural constituent of ribosome","25/477","176/18496","4.188471e-12","2.906799e-09","2.610079e-09","25","1.7061851","0.052410901"
"72","C3.N61311 - N080611","GO:0005178","integrin binding","17/477","154/18496","4.998504e-07","1.156321e-04","1.038286e-04","17","1.4540540","0.035639413"
"73","C3.N61311 - N080611","GO:0005201","extracellular matrix structural constituent","21/477","166/18496","1.952534e-09","6.775293e-07","6.083685e-07","21","1.5903279","0.044025157"
"74","C3.N61311 - N080611","GO:0005520","insulin-like growth factor binding","5/477","19/18496","9.629047e-05","1.670640e-02","1.500104e-02","5","2.3227922","0.010482180"
"75","C3.N61311 - N080611","GO:0019843","rRNA binding","8/477","66/18496","2.854848e-04","3.962529e-02","3.558042e-02","8","1.5475801","0.016771488"
"76","C3.N61311 - N080611","GO:0097110","scaffold protein binding","8/477","68/18496","3.512979e-04","4.063346e-02","3.648568e-02","8","1.5177271","0.016771488"
