"","Comparison","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","effect"
"57","C2.N61311 - N061011","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","112","0.8883878","2.229138","7.162593e-10","7.817459e-08","7.442634e-08","1103","tags=71%, list=5%, signal=67%","2.229138"
"58","C2.N61311 - N061011","R-HSA-72737","Cap-dependent Translation Initiation","119","0.8800610","2.240299","1.985999e-09","1.811760e-07","1.724891e-07","1103","tags=66%, list=5%, signal=63%","2.240299"
"59","C2.N61311 - N061011","R-HSA-72764","Eukaryotic Translation Termination","93","0.9213030","2.259863","1.000000e-10","2.546667e-08","2.424561e-08","1103","tags=81%, list=5%, signal=77%","2.259863"
"60","C2.N61311 - N061011","R-HSA-72766","Translation","291","0.7677089","2.116220","2.015701e-09","1.811760e-07","1.724891e-07","1936","tags=44%, list=9%, signal=41%","2.116220"
"61","C2.N61311 - N061011","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","74","0.7701706","1.845014","1.256725e-03","4.683598e-02","4.459033e-02","2882","tags=57%, list=14%, signal=49%","1.845014"
"62","C2.N61311 - N061011","R-HSA-8868773","rRNA processing in the nucleus and cytosol","193","0.8132048","2.162118","2.368356e-09","2.010471e-07","1.914075e-07","1676","tags=50%, list=8%, signal=47%","2.162118"
"63","C2.N61311 - N061011","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","166","0.8336738","2.194064","8.708727e-09","6.048607e-07","5.758594e-07","1617","tags=60%, list=8%, signal=55%","2.194064"
"64","C2.N61311 - N061011","R-HSA-927802","Nonsense-Mediated Decay (NMD)","115","0.8803677","2.208979","6.447766e-10","7.578605e-08","7.215233e-08","1161","tags=66%, list=6%, signal=63%","2.208979"
"65","C2.N61311 - N061011","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","101","0.8895932","2.211213","3.960317e-09","3.184929e-07","3.032221e-07","1103","tags=73%, list=5%, signal=70%","2.211213"
"66","C2.N61311 - N061011","R-HSA-9678108","SARS-CoV-1 Infection","139","0.7586674","1.929398","6.349337e-05","2.847481e-03","2.710953e-03","1405","tags=31%, list=7%, signal=29%","1.929398"
"67","C2.N61311 - N061011","R-HSA-9692914","SARS-CoV-1-host interactions","95","0.8203549","2.020372","6.522372e-05","2.847481e-03","2.710953e-03","695","tags=34%, list=3%, signal=33%","2.020372"
"68","C2.N61311 - N061011","R-HSA-9705683","SARS-CoV-2-host interactions","186","0.6957955","1.846137","3.131231e-04","1.329033e-02","1.265310e-02","1410","tags=26%, list=7%, signal=24%","1.846137"
"69","C2.N61311 - N061011","R-HSA-9711097","Cellular response to starvation","155","0.8392501","2.180851","7.485934e-09","5.446909e-07","5.185745e-07","1279","tags=53%, list=6%, signal=50%","2.180851"
"70","C2.N61311 - N061011","R-HSA-9735869","SARS-CoV-1 modulates host translation machinery","37","0.9405430","2.110886","2.603259e-06","1.473252e-04","1.402614e-04","695","tags=81%, list=3%, signal=79%","2.110886"
"71","C2.N61311 - N061011","R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","50","0.9084686","2.105802","1.870949e-05","9.529366e-04","9.072460e-04","695","tags=59%, list=3%, signal=57%","2.105802"
"72","C2.N61311 - N061011","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","95","0.9178206","2.260411","1.000000e-10","2.546667e-08","2.424561e-08","1103","tags=78%, list=5%, signal=74%","2.260411"
"73","C2.N61311 - N061011","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","115","0.8803677","2.208979","6.447766e-10","7.578605e-08","7.215233e-08","1161","tags=66%, list=6%, signal=63%","2.208979"
"74","C2.N61311 - N080611","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","111","0.7730122","1.930141","4.295669e-07","1.462336e-04","1.462336e-04","2259","tags=57%, list=11%, signal=51%","1.930141"
"75","C2.N61311 - N080611","R-HSA-156842","Eukaryotic Translation Elongation","93","0.8214304","2.029081","1.053597e-07","1.462336e-04","1.462336e-04","2622","tags=75%, list=12%, signal=66%","2.029081"
"76","C2.N61311 - N080611","R-HSA-156902","Peptide chain elongation","89","0.8191934","2.010598","3.348599e-07","1.462336e-04","1.462336e-04","2622","tags=74%, list=12%, signal=65%","2.010598"
